date,open,close,high,low,volume
2023-10-03,5065.0,5016.45,5073.0,4997.1,464531
2023-10-04,5011.25,4918.6,5019.2,4903.05,256544
2023-10-05,4935.0,5011.05,5039.3,4925.1,657876
2023-10-06,5120.0,5014.6,5120.0,4997.5,279352
2023-10-09,4957.05,5007.3,5068.7,4957.05,244083
2023-10-10,5007.3,5037.5,5064.0,5002.2,307502
2023-10-11,5055.0,5064.4,5095.0,5050.0,575680
2023-10-12,5085.0,5106.6,5151.0,5051.1,472168
2023-10-13,5089.95,5052.4,5123.45,5040.0,387366
2023-10-16,5035.0,5076.7,5099.4,5032.0,158560
2023-10-17,5083.0,5141.25,5150.0,5070.0,318565
2023-10-18,5150.0,5137.35,5198.75,5125.65,360985
2023-10-19,5300.0,5482.6,5495.0,5245.0,2838352
2023-10-20,5450.0,5489.3,5510.0,5436.9,763919
2023-10-23,5453.05,5405.4,5493.4,5395.05,451167
2023-10-25,5385.0,5347.3,5423.95,5332.3,620266
2023-10-26,5333.85,5259.35,5347.45,5236.0,746266
2023-10-27,5265.0,5373.55,5423.7,5265.0,843465
2023-10-30,5388.0,5308.9,5397.75,5275.0,360967
2023-10-31,5340.0,5314.05,5366.15,5292.6,400987
2023-11-01,5305.0,5344.35,5449.5,5305.0,619765
2023-11-02,5383.9,5318.4,5392.85,5285.0,304362
2023-11-03,5357.0,5368.95,5377.05,5316.6,448715
2023-11-06,5380.0,5406.85,5427.5,5377.1,394137
2023-11-07,5406.85,5419.0,5445.0,5405.3,202689
2023-11-08,5434.0,5397.6,5435.25,5381.25,202145
2023-11-09,5421.8,5418.9,5455.0,5382.15,232773
2023-11-10,5409.95,5392.05,5427.05,5349.05,149325
2023-11-12,5425.0,5442.55,5455.0,5358.6,29055
2023-11-13,5435.0,5425.2,5439.8,5395.55,93497
2023-11-15,5525.0,5536.7,5555.0,5461.1,640468
2023-11-16,5520.0,5550.9,5583.3,5496.95,324712
2023-11-17,5556.9,5631.5,5674.95,5479.35,531539
2023-11-20,5610.05,5650.15,5675.95,5606.0,679425
2023-11-21,5640.5,5685.95,5707.35,5640.0,746193
2023-11-22,5680.0,5751.55,5764.9,5661.3,497403
2023-11-23,5800.0,5925.25,5945.0,5783.1,1118718
2023-11-24,5940.0,5930.3,5960.0,5900.0,297211
2023-11-28,5969.8,5998.15,6039.65,5912.0,380535
2023-11-29,6010.0,6069.95,6096.4,5973.3,406974
2023-11-30,6095.0,6090.55,6128.9,6031.0,501833
2023-12-01,6050.0,6046.05,6090.0,6003.3,439023
2023-12-04,6090.55,6201.7,6217.7,6087.45,359158
2023-12-05,6194.05,6140.1,6194.05,6111.1,565826
2023-12-06,6089.05,6069.95,6096.0,5987.85,699201
2023-12-07,6069.95,6093.6,6154.45,6063.1,427407
2023-12-08,6115.0,6075.7,6120.0,6048.05,233266
2023-12-11,6085.0,6138.4,6145.0,6018.3,175955
2023-12-12,6164.0,6254.2,6299.95,6149.95,810900
2023-12-13,6259.9,6316.1,6329.0,6224.35,373989
2023-12-14,6325.0,6334.85,6360.0,6284.2,419212
2023-12-15,6368.95,6275.2,6402.1,6256.15,553522
2023-12-18,6275.2,6465.7,6486.75,6262.15,851061
2023-12-19,6470.0,6419.0,6470.25,6395.9,377109
2023-12-20,6434.0,6364.45,6466.0,6350.0,385863
2023-12-21,6333.2,6246.35,6345.0,6232.0,397717
2023-12-22,6288.0,6372.1,6395.0,6264.25,237213
2023-12-26,6379.85,6464.55,6475.0,6370.05,302139
2023-12-27,6470.0,6709.65,6740.25,6465.2,1017894
2023-12-28,6709.65,6703.3,6738.65,6666.0,406228
2023-12-29,6729.95,6797.25,6833.95,6666.0,345626
2024-01-01,6770.0,6701.1,6795.5,6682.05,253274
2024-01-02,6711.0,6665.05,6736.8,6560.95,361379
2024-01-03,6644.05,6986.5,7059.85,6604.0,1256275
2024-01-04,7025.0,6922.15,7028.95,6887.0,619987
2024-01-05,6950.0,6978.5,7084.0,6920.5,659306
2024-01-08,7018.95,6983.85,7049.85,6961.5,312733
2024-01-09,7341.0,7093.9,7399.0,7075.9,2125908
2024-01-10,7125.0,7053.75,7139.95,7020.0,721432
2024-01-11,7090.0,7298.85,7324.9,7075.0,1031594
2024-01-12,7360.0,7301.95,7360.95,7252.0,434753
2024-01-15,7364.0,7332.1,7419.0,7304.05,440410
2024-01-16,7339.0,7293.95,7356.15,7244.0,272181
2024-01-17,7112.0,7165.95,7210.0,7081.0,619338
2024-01-18,7148.0,7083.6,7189.25,7071.15,557084
2024-01-19,7138.8,7136.55,7180.0,7105.0,327976
2024-01-20,7170.0,7095.15,7189.0,7050.0,91479
2024-01-23,7075.0,7095.9,7210.0,6936.55,953921
2024-01-24,7075.1,7212.85,7237.0,7028.2,467134
2024-01-25,7360.0,7597.5,7625.15,7210.0,2065788
2024-01-29,7594.0,7548.8,7640.0,7480.0,457853
2024-01-30,7574.9,7566.4,7660.0,7543.65,266287
2024-01-31,7566.4,7667.55,7686.0,7515.1,336874
2024-02-01,7680.0,7655.75,7765.0,7636.35,394564
2024-02-02,7675.0,7738.2,7797.5,7665.6,197720
2024-02-05,7800.0,7658.25,7838.0,7633.5,252401
2024-02-06,7675.0,7720.4,7747.7,7670.6,131992
2024-02-07,7745.0,7701.9,7777.8,7665.6,159783
2024-02-08,7729.0,7757.25,7783.45,7668.15,282537
2024-02-09,7778.8,7784.85,7790.5,7669.0,173555
2024-02-12,7775.0,7829.95,7874.2,7766.05,219911
2024-02-13,7830.0,7917.4,7935.15,7811.95,258767
2024-02-14,7899.0,8083.3,8136.85,7880.0,513900
2024-02-15,8120.6,8123.05,8156.85,8045.3,394525
2024-02-16,8185.85,8325.05,8455.45,8137.1,938756
2024-02-19,8400.0,8509.7,8650.0,8361.1,1044959
2024-02-20,8505.0,8295.2,8505.0,8238.7,547082
2024-02-21,8300.0,8232.25,8376.85,8205.0,439817
2024-02-22,8260.0,8498.45,8550.0,8220.0,548486
2024-02-23,8497.5,8436.95,8531.0,8401.05,340749
2024-02-26,8458.8,8448.0,8547.95,8375.0,345968
2024-02-27,8460.0,8463.5,8490.0,8383.5,392445
2024-02-28,8470.0,8188.65,8486.65,8071.85,537728
2024-02-29,7997.4,7909.35,8143.5,7890.0,1042536
2024-03-01,7955.0,8040.05,8094.0,7945.3,399007
2024-03-02,8079.9,8041.3,8150.1,7989.15,14968
2024-03-04,8068.75,8207.3,8225.0,8046.65,410053
2024-03-05,8160.05,8351.75,8388.0,8160.05,615117
2024-03-06,8369.7,8605.8,8681.15,8364.0,959543
2024-03-07,8638.0,8879.05,8972.85,8500.05,1243547
2024-03-11,9023.45,8659.4,9025.0,8630.0,631957
2024-03-12,8636.95,8527.7,8699.95,8475.25,324864
2024-03-13,8527.7,8384.9,8617.2,8296.95,430048
2024-03-14,8330.5,8383.55,8400.0,8202.05,392634
2024-03-15,8384.8,8350.7,8432.1,8110.0,676870
2024-03-18,8343.0,8521.8,8547.15,8294.2,367524
2024-03-19,8500.0,8640.2,8687.9,8442.55,673456
2024-03-20,8640.0,8635.6,8784.0,8562.0,790885
2024-03-21,8608.2,8750.6,8770.0,8585.0,720691
2024-03-22,8700.05,8945.25,9050.0,8682.0,851210
2024-03-26,8945.25,8960.55,9020.0,8851.05,534067
2024-03-27,8959.0,9162.5,9287.8,8926.7,1034030
2024-03-28,9162.5,9148.15,9243.6,8980.05,847202
