date,open,close,high,low,volume
2023-10-03,4524.8,4495.45,4553.25,4486.6,543482
2023-10-04,4490.0,4532.5,4540.0,4466.75,318564
2023-10-05,4540.25,4533.9,4548.2,4500.0,302015
2023-10-06,4533.85,4538.45,4549.45,4515.0,238131
2023-10-09,4511.0,4522.5,4535.0,4493.5,255764
2023-10-10,4522.2,4529.95,4541.95,4503.0,222750
2023-10-11,4522.0,4554.95,4568.95,4520.65,368192
2023-10-12,4582.0,4560.75,4591.6,4531.0,518582
2023-10-13,4550.0,4574.7,4582.0,4515.0,445822
2023-10-16,4559.95,4586.05,4591.45,4555.0,292118
2023-10-17,4586.2,4600.35,4609.9,4562.2,196669
2023-10-18,4605.0,4607.7,4623.0,4586.25,217179
2023-10-19,4600.05,4602.45,4616.0,4561.7,228881
2023-10-20,4603.0,4580.0,4608.0,4558.75,351045
2023-10-23,4572.7,4530.6,4600.0,4516.35,203004
2023-10-25,4470.0,4533.75,4585.6,4470.0,330082
2023-10-26,4517.6,4507.8,4524.8,4476.75,488909
2023-10-27,4512.0,4514.3,4544.0,4491.0,382794
2023-10-30,4500.0,4461.6,4508.7,4441.0,450526
2023-10-31,4460.1,4426.5,4479.75,4401.9,504625
2023-11-01,4442.6,4397.3,4456.0,4347.7,395359
2023-11-02,4512.1,4527.25,4568.8,4454.25,822845
2023-11-03,4528.0,4539.55,4582.4,4524.15,335012
2023-11-06,4554.9,4623.6,4628.15,4546.05,205763
2023-11-07,4610.1,4655.2,4670.0,4590.85,282612
2023-11-08,4670.95,4670.6,4686.5,4650.5,385727
2023-11-09,4670.6,4652.1,4685.5,4630.5,208210
2023-11-10,4657.45,4681.95,4685.85,4621.0,142336
2023-11-12,4694.65,4676.6,4699.0,4660.05,23883
2023-11-13,4662.3,4696.35,4703.15,4644.0,260394
2023-11-15,4723.0,4710.8,4725.0,4667.4,269650
2023-11-16,4710.0,4702.1,4729.0,4679.6,178375
2023-11-17,4703.0,4718.3,4745.6,4690.1,138652
2023-11-20,4691.25,4712.0,4739.45,4690.9,126069
2023-11-21,4730.0,4699.75,4730.0,4665.0,129602
2023-11-22,4709.9,4694.2,4712.85,4662.75,72533
2023-11-23,4699.0,4705.8,4710.95,4678.95,109775
2023-11-24,4705.8,4644.15,4715.0,4640.5,123628
2023-11-28,4632.25,4713.45,4722.9,4626.0,182790
