date,open,close,high,low,volume
2023-10-03,5138.95,5118.95,5154.95,5066.0,268482
2023-10-04,5085.0,5047.4,5096.85,4982.3,442482
2023-10-05,5054.95,5047.05,5079.85,5026.65,363289
2023-10-06,5050.0,5060.25,5084.0,5028.8,407753
2023-10-09,5000.0,5047.3,5066.0,4987.05,176296
2023-10-10,5068.95,5066.7,5084.55,5033.0,202645
2023-10-11,5072.95,5092.85,5140.0,5065.0,336099
2023-10-12,5092.8,4993.85,5113.95,4871.7,1029595
2023-10-13,4988.95,5017.3,5029.1,4933.75,410013
2023-10-16,5030.0,5021.7,5049.45,4986.4,259806
2023-10-17,5050.0,5028.8,5068.0,5012.2,217907
2023-10-18,5021.0,4977.25,5039.95,4938.45,341459
2023-10-19,4977.25,4997.05,5019.95,4935.15,231958
2023-10-20,4990.1,4977.55,4999.95,4940.5,252447
2023-10-23,4977.0,4969.55,5010.55,4944.15,363474
2023-10-25,4960.0,4859.9,4971.35,4831.5,894230
2023-10-26,4859.9,4760.3,4859.9,4726.0,836962
2023-10-27,4779.95,4830.2,4860.55,4776.8,333727
2023-10-30,4840.0,4841.75,4868.4,4783.05,234759
2023-10-31,4832.0,4819.9,4899.65,4805.2,276660
2023-11-01,4835.0,4796.55,4856.0,4790.0,281746
2023-11-02,4837.8,4887.0,4895.0,4810.2,214035
2023-11-03,4950.75,5153.2,5165.5,4937.05,1262458
2023-11-06,5141.05,5164.95,5228.0,5127.5,399720
2023-11-07,5150.0,5136.85,5181.95,5121.05,222204
2023-11-08,5135.0,5110.95,5153.65,5087.45,400498
2023-11-09,5147.5,5297.6,5313.0,5122.05,1032216
2023-11-10,5300.0,5278.5,5338.0,5218.65,696409
2023-11-12,5300.0,5275.55,5300.0,5265.0,18707
2023-11-13,5250.0,5220.65,5279.0,5200.2,150128
2023-11-15,5283.85,5224.95,5295.0,5207.0,356675
2023-11-16,5224.0,5338.75,5368.0,5201.75,449045
2023-11-17,5332.2,5478.95,5493.35,5306.15,735541
2023-11-20,5475.0,5473.95,5595.0,5455.05,526567
2023-11-21,5500.0,5466.8,5520.3,5422.4,382979
2023-11-22,5467.0,5532.0,5539.95,5439.15,302473
2023-11-23,5530.0,5493.95,5550.0,5473.3,234584
2023-11-24,5493.0,5401.3,5493.0,5395.0,270183
2023-11-28,5401.3,5366.8,5424.85,5341.0,362746
2023-11-29,5372.1,5421.95,5435.0,5364.5,277119
